id,logged_at,symbol,direction,entry,stop,target1,target2,qty,rupees_at_risk,status,exit_time,exit_price,pnl,r_multiple,outcome,tag,score
HCLTECH_20260630_104256,2026-06-30T10:42:56.785284+05:30,HCLTECH,SHORT,1083.5,1137.67,996.82,910.14,18,975.15,OPEN,,,,,,core,52.2
ASTRAL_20260630_152239,2026-06-30T15:22:39.090333+05:30,ASTRAL,SHORT,1335.0,1401.75,1228.2,1121.4,14,934.5,OPEN,,,,,,intraday,70.3
TANLA_20260630_220831,2026-06-30T22:08:31.863184+05:30,TANLA,LONG,530.1,503.59,572.51,614.92,37,980.68,OPEN,,,,,,intraday,57.9
BHARATFORG_20260701_042821,2026-07-01T04:28:21.377278+05:30,BHARATFORG,LONG,2170.9,2062.35,2344.57,2518.24,9,976.9,OPEN,,,,,,core,92.6
CHOLAFIN_20260701_042821,2026-07-01T04:28:21.377278+05:30,CHOLAFIN,LONG,1774.0,1685.3,1915.92,2057.84,11,975.7,OPEN,,,,,,core,74.7
GUJGASLTD_20260701_042821,2026-07-01T04:28:21.377278+05:30,GUJGASLTD,SHORT,335.3,352.06,308.48,281.65,59,989.13,OPEN,,,,,,core,73.6
LAURUSLABS_20260701_042821,2026-07-01T04:28:21.377278+05:30,LAURUSLABS,LONG,1500.3,1425.29,1620.32,1740.35,13,975.2,OPEN,,,,,,core,71.8
KAJARIACER_20260701_042821,2026-07-01T04:28:21.377278+05:30,KAJARIACER,LONG,1205.9,1145.61,1302.37,1398.84,16,964.72,OPEN,,,,,,core,71.5
FEDERALBNK_20260701_042821,2026-07-01T04:28:21.377278+05:30,FEDERALBNK,LONG,324.05,307.85,349.97,375.9,61,988.35,OPEN,,,,,,core,71.2
PERSISTENT_20260701_042821,2026-07-01T04:28:21.377278+05:30,PERSISTENT,SHORT,4298.5,4513.43,3954.62,3610.74,4,859.7,OPEN,,,,,,core,71.1
LUPIN_20260701_042821,2026-07-01T04:28:21.377278+05:30,LUPIN,LONG,2409.3,2288.84,2602.04,2794.79,8,963.72,OPEN,,,,,,core,60.6
JBCHEPHARM_20260701_042821,2026-07-01T04:28:21.377278+05:30,JBCHEPHARM,LONG,2303.2,2188.04,2487.46,2671.71,8,921.28,OPEN,,,,,,core,59.7
VEDL_20260701_042821,2026-07-01T04:28:21.377278+05:30,VEDL,SHORT,284.55,298.78,261.79,239.02,70,995.92,OPEN,,,,,,core,59.3
DRREDDY_20260701_042821,2026-07-01T04:28:21.377278+05:30,DRREDDY,LONG,1375.7,1306.91,1485.76,1595.81,14,962.99,OPEN,,,,,,core,57.8
MARICO_20260701_042821,2026-07-01T04:28:21.377278+05:30,MARICO,LONG,839.95,797.95,907.15,974.34,23,965.94,OPEN,,,,,,core,56.5
ZENSARTECH_20260701_042821,2026-07-01T04:28:21.377278+05:30,ZENSARTECH,SHORT,433.4,455.07,398.73,364.06,46,996.82,CLOSED,2026-07-02T00:00:00+05:30,455.07,-996.82,-1.0,stop,core,56.2
ASTRAL_20260701_042821,2026-07-01T04:28:21.377278+05:30,ASTRAL,SHORT,1368.0,1436.4,1258.
